epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.351,0.04553,0.88251,0.87943,0.60996,0.2334,0.24691,0.11938,0.04164,0.46571,0.81417,0.0696949,0.00291325,0.00291325
2,493.521,0.04182,0.48242,0.84538,0.67292,0.24746,0.28511,0.15078,0.03902,0.42295,0.80477,0.0392688,0.00582055,0.00582055
3,740.627,0.04253,0.47763,0.8465,0.60184,0.22997,0.23953,0.10879,0.04443,0.90108,0.83258,0.00882671,0.00871177,0.00871177
4,986.608,0.04258,0.46882,0.84944,0.66813,0.24578,0.27649,0.13598,0.04098,0.55162,0.81804,0.0086977,0.0086977,0.0086977
5,1231.23,0.03992,0.41977,0.83834,0.70154,0.25732,0.30757,0.16227,0.0382,0.44112,0.80728,0.00867359,0.00867359,0.00867359
6,1482.96,0.03823,0.39732,0.83184,0.69777,0.26249,0.2839,0.14428,0.03825,0.4666,0.80909,0.00864949,0.00864949,0.00864949
7,1737.61,0.03723,0.37854,0.82928,0.70981,0.27665,0.31854,0.17225,0.03705,0.39369,0.80867,0.00862539,0.00862539,0.00862539
8,1992.99,0.03616,0.36661,0.82486,0.72409,0.27791,0.34732,0.19198,0.03597,0.35832,0.79985,0.00860129,0.00860129,0.00860129
9,2233.34,0.03591,0.36002,0.82209,0.73138,0.29091,0.3317,0.17373,0.03673,0.38278,0.80165,0.00857719,0.00857719,0.00857719
10,2482.68,0.03531,0.35565,0.822,0.77446,0.2892,0.37805,0.2033,0.03643,0.35137,0.80284,0.00855309,0.00855309,0.00855309
11,2767.63,0.03482,0.3471,0.82044,0.72533,0.28353,0.33375,0.18462,0.03587,0.3529,0.79999,0.00852898,0.00852898,0.00852898
12,3027.23,0.03465,0.34545,0.82013,0.7399,0.28851,0.35023,0.19232,0.03529,0.34414,0.79949,0.00850488,0.00850488,0.00850488
13,3289.61,0.03416,0.33884,0.8185,0.77545,0.29054,0.36823,0.21153,0.0332,0.33082,0.79158,0.00848078,0.00848078,0.00848078
14,3532.29,0.03385,0.33689,0.81935,0.76581,0.29618,0.3804,0.22007,0.03273,0.31905,0.79204,0.00845668,0.00845668,0.00845668
15,3765.03,0.03329,0.33071,0.8157,0.74705,0.30405,0.38621,0.22111,0.03379,0.32277,0.79655,0.00843258,0.00843258,0.00843258
