epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9114.85,0.01804,0.20105,0.62705,0.89514,0.59432,0.73015,0.51265,0.01954,0.21162,0.63303,0.000235906,0.000235906,0.000235906
43,9319.54,0.01791,0.19993,0.62714,0.90009,0.59474,0.73207,0.51424,0.01954,0.21081,0.63324,0.000214562,0.000214562,0.000214562
44,9532.14,0.01789,0.19935,0.62673,0.90128,0.59418,0.73082,0.51305,0.01954,0.21103,0.63282,0.000194016,0.000194016,0.000194016
45,9740.14,0.01785,0.19831,0.62667,0.89942,0.59783,0.73371,0.5154,0.0195,0.21063,0.63295,0.000174323,0.000174323,0.000174323
46,9944.77,0.01772,0.19725,0.62539,0.90324,0.59551,0.73569,0.51771,0.01946,0.20993,0.63273,0.000155537,0.000155537,0.000155537
47,10151.9,0.01769,0.19733,0.62591,0.90262,0.59552,0.73425,0.51637,0.01944,0.20994,0.63261,0.00013771,0.00013771,0.00013771
48,10359,0.0177,0.19699,0.62623,0.90163,0.5963,0.73513,0.51729,0.01944,0.20926,0.6327,0.00012089,0.00012089,0.00012089
49,10563.9,0.01762,0.19571,0.62495,0.90266,0.59749,0.73779,0.51922,0.01942,0.20919,0.63279,0.000105125,0.000105125,0.000105125
50,10770,0.01762,0.19525,0.62514,0.903,0.59614,0.73749,0.51867,0.01942,0.20893,0.63282,9.04556e-05,9.04556e-05,9.04556e-05
51,11014.9,0.01757,0.19524,0.62617,0.90167,0.59849,0.7375,0.51798,0.01941,0.20942,0.63275,7.69239e-05,7.69239e-05,7.69239e-05
52,11218.4,0.01751,0.19431,0.62552,0.90295,0.59788,0.73783,0.51928,0.0194,0.20933,0.63269,6.45663e-05,6.45663e-05,6.45663e-05
53,11419.7,0.01749,0.19427,0.62553,0.90314,0.59855,0.73757,0.51878,0.01937,0.20916,0.63273,5.34169e-05,5.34169e-05,5.34169e-05
54,11624.6,0.0175,0.1937,0.62461,0.90265,0.59794,0.73676,0.51796,0.01936,0.20862,0.63265,4.35061e-05,4.35061e-05,4.35061e-05
55,11827.8,0.01742,0.19284,0.62526,0.90339,0.59866,0.73746,0.51895,0.01939,0.20871,0.63273,3.48611e-05,3.48611e-05,3.48611e-05
56,12036.3,0.01743,0.1928,0.62386,0.90426,0.59897,0.73813,0.51966,0.01936,0.20865,0.63276,2.75056e-05,2.75056e-05,2.75056e-05
57,12240.4,0.01744,0.1926,0.62629,0.90396,0.59855,0.7383,0.52052,0.01935,0.20854,0.63266,2.14598e-05,2.14598e-05,2.14598e-05
58,12444.3,0.01735,0.19193,0.62404,0.90326,0.5987,0.73788,0.52003,0.01935,0.20826,0.63268,1.67403e-05,1.67403e-05,1.67403e-05
59,12648.4,0.01738,0.19232,0.62479,0.9033,0.59821,0.73742,0.51986,0.01935,0.20834,0.63266,1.33599e-05,1.33599e-05,1.33599e-05
60,12850.7,0.01737,0.19197,0.62442,0.90359,0.59756,0.73703,0.51933,0.01935,0.20819,0.63263,1.13279e-05,1.13279e-05,1.13279e-05
