epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9222.68,0.01943,0.24017,0.73881,0.90244,0.59699,0.73173,0.50671,0.01999,0.23844,0.74018,0.000878661,0.000878661,0.000878661
43,9427.26,0.01944,0.24107,0.73833,0.89839,0.59294,0.72664,0.50418,0.01997,0.2373,0.73998,0.00087294,0.00087294,0.00087294
44,9629.38,0.01957,0.24231,0.73904,0.89676,0.58938,0.72202,0.50004,0.02009,0.23768,0.74028,0.000867107,0.000867107,0.000867107
45,9829.74,0.01942,0.24111,0.73797,0.89845,0.59474,0.72904,0.50727,0.01993,0.23702,0.73996,0.000861164,0.000861164,0.000861164
46,10033.4,0.01943,0.24165,0.73998,0.90114,0.59482,0.72353,0.5021,0.01995,0.23613,0.74007,0.000855113,0.000855113,0.000855113
47,10233.7,0.01939,0.24086,0.73862,0.89526,0.59283,0.72345,0.50249,0.01989,0.23535,0.74013,0.000848955,0.000848955,0.000848955
48,10434.4,0.01935,0.23957,0.73887,0.89872,0.59514,0.72816,0.50489,0.01989,0.23417,0.73963,0.000842693,0.000842693,0.000842693
49,10632,0.01946,0.24037,0.73884,0.90193,0.59448,0.72712,0.50574,0.01981,0.23481,0.739,0.000836327,0.000836327,0.000836327
50,10833.2,0.01934,0.24008,0.73846,0.89974,0.59464,0.73043,0.50905,0.01983,0.23531,0.73929,0.000829861,0.000829861,0.000829861
51,11035,0.01941,0.24062,0.73745,0.89686,0.59438,0.7294,0.50881,0.0197,0.23447,0.73873,0.000823296,0.000823296,0.000823296
52,11236,0.01941,0.24074,0.73785,0.8979,0.59458,0.72903,0.50817,0.01974,0.2342,0.73895,0.000816634,0.000816634,0.000816634
