epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14384.5,0.02721,0.27065,0.44927,0.874,0.56307,0.68568,0.44608,0.02368,0.2267,0.43228,0.00778183,0.00778183,0.00778183
43,14690.8,0.02736,0.27138,0.44922,0.86706,0.5655,0.67616,0.43853,0.02376,0.22706,0.43259,0.00775773,0.00775773,0.00775773
44,15093,0.02723,0.26903,0.44884,0.86835,0.56736,0.68321,0.44343,0.02355,0.22385,0.43237,0.00773363,0.00773363,0.00773363
45,15386.2,0.02709,0.26802,0.44641,0.87067,0.56756,0.68054,0.44376,0.02319,0.22227,0.43142,0.00770953,0.00770953,0.00770953
46,15696.2,0.02707,0.26888,0.44893,0.86813,0.56681,0.68424,0.44741,0.02324,0.22332,0.43157,0.00768543,0.00768543,0.00768543
47,16005.7,0.02695,0.26658,0.4479,0.86662,0.56727,0.6772,0.44031,0.02326,0.22408,0.43162,0.00766132,0.00766132,0.00766132
48,16322.2,0.02716,0.26874,0.44797,0.86796,0.56902,0.68466,0.44561,0.02332,0.2223,0.43116,0.00763722,0.00763722,0.00763722
49,16630.9,0.02693,0.26724,0.44705,0.86804,0.56611,0.68066,0.44484,0.02328,0.22306,0.43119,0.00761312,0.00761312,0.00761312
50,17157.6,0.02697,0.26738,0.44775,0.87244,0.57201,0.68076,0.44364,0.02328,0.22123,0.43187,0.00758902,0.00758902,0.00758902
51,17466.7,0.02687,0.26708,0.44627,0.86675,0.57121,0.68221,0.44693,0.02303,0.21982,0.43091,0.00756492,0.00756492,0.00756492
52,18070.3,0.02701,0.26752,0.44651,0.87359,0.56683,0.68795,0.4523,0.02298,0.21904,0.43064,0.00754082,0.00754082,0.00754082
53,18403.1,0.02689,0.26687,0.44717,0.86724,0.56929,0.69386,0.457,0.02304,0.22162,0.43078,0.00751671,0.00751671,0.00751671
54,18726.9,0.02717,0.26931,0.44863,0.86813,0.56784,0.68856,0.45307,0.02291,0.21861,0.43023,0.00749261,0.00749261,0.00749261
55,19075.1,0.02713,0.26844,0.44776,0.87728,0.56708,0.69033,0.45485,0.02288,0.2193,0.43008,0.00746851,0.00746851,0.00746851
56,19518.6,0.02704,0.26751,0.4466,0.86869,0.56934,0.68434,0.44952,0.02281,0.21691,0.43014,0.00744441,0.00744441,0.00744441
57,19857.6,0.02701,0.26764,0.4482,0.87157,0.57127,0.6846,0.45073,0.0227,0.21687,0.42964,0.00742031,0.00742031,0.00742031
58,20190,0.02701,0.26888,0.44788,0.87077,0.57089,0.68666,0.4521,0.02272,0.217,0.42963,0.00739621,0.00739621,0.00739621
59,20523.5,0.0268,0.2656,0.44748,0.87065,0.56956,0.68914,0.45459,0.02259,0.21601,0.42933,0.0073721,0.0073721,0.0073721
60,20841.5,0.02678,0.26522,0.44613,0.87732,0.56969,0.69457,0.45977,0.02252,0.21559,0.42921,0.007348,0.007348,0.007348
61,21177.9,0.0268,0.26663,0.44656,0.87466,0.57119,0.69172,0.45583,0.02257,0.2151,0.42926,0.0073239,0.0073239,0.0073239
62,21501,0.02687,0.2659,0.44647,0.8708,0.57179,0.69059,0.45665,0.02257,0.21483,0.42942,0.0072998,0.0072998,0.0072998
63,21862.7,0.02703,0.26746,0.44767,0.8759,0.56997,0.68808,0.45367,0.02252,0.21429,0.4293,0.0072757,0.0072757,0.0072757
64,22212.3,0.02694,0.26704,0.44731,0.87215,0.57441,0.6908,0.45512,0.0225,0.21425,0.42902,0.0072516,0.0072516,0.0072516
65,22539,0.02681,0.26555,0.44641,0.87324,0.57276,0.6944,0.45733,0.02259,0.21416,0.42923,0.00722749,0.00722749,0.00722749
66,23034.9,0.02698,0.26859,0.44583,0.87458,0.5713,0.6933,0.45891,0.02249,0.21352,0.42918,0.00720339,0.00720339,0.00720339
67,23340.9,0.02665,0.26492,0.44581,0.87316,0.57483,0.69238,0.45713,0.02242,0.21301,0.4289,0.00717929,0.00717929,0.00717929
68,23638.8,0.02678,0.26587,0.44698,0.87408,0.5745,0.69643,0.46113,0.02236,0.21298,0.42867,0.00715519,0.00715519,0.00715519
69,23964.6,0.02677,0.26497,0.44647,0.87434,0.57596,0.69623,0.46064,0.02236,0.21267,0.42887,0.00713109,0.00713109,0.00713109
